Name,ANZ_Product_Code__c,IDR_Product_or_Service_Line__c,IDR_Product_or_Service_Category__c,IDR_Product_or_Service_Type__c,IDR_Workbasket__c
Generation Life MLC Horizon 2 Income,423,4,13,98,IDR_Wealth
Generation Life MLC Horizon 3 Conservative Growth,424,4,13,98,IDR_Wealth
Generation MLC Horizon 4 Balanced Portfolio,425,4,13,98,IDR_Wealth
Generation Life Pendal Sustainability Balanced Fund,426,4,13,98,IDR_Wealth
Generation Perpetual Wholesale Balanced Growth,427,4,13,98,IDR_Wealth
Generation Perpetual Wholesale Conservative Growth,428,4,13,98,IDR_Wealth
Generation Life Sectoral Blend,429,4,13,98,IDR_Wealth
Generation Life Investment Bonds Vanguard Balance Portfolio,430,4,13,98,IDR_Wealth
Generation Life Investment Bonds Vanguard Conservative Portfolio,431,4,13,98,IDR_Wealth
Generation Life Investment Bonds Vanguard Growth Portolio,432,4,13,98,IDR_Wealth
Generation Life Investment Bonds Vanguard High Growth Portfolio,433,4,13,98,IDR_Wealth
Generation Life MLC Horizon 6 Share,434,4,13,98,IDR_Wealth
Ironbark GCM Global Macro,435,4,13,98,IDR_Wealth
AQR WS DELTA 1F,436,4,13,98,IDR_Wealth
Fulcrum Diversified Investments Fund,437,4,13,98,IDR_Wealth
Pendal Pure Alpha Fixed Income,438,4,13,98,IDR_Wealth
Aviva Inv Mlt-Stgy Tgt Ret Fh AUD Inc,439,4,13,98,IDR_Wealth
OnePath OA FR IP-OnePath Alts Gr,440,4,13,98,IDR_Wealth
Schroder Real Return Fnd -WC,441,4,13,98,IDR_Wealth
Generation Schroder Rl Rt CPI Plus 5%,442,4,13,98,IDR_Wealth
Kilter Murray-Darling Basin Balanced Water Fund,443,4,13,100,IDR_Wealth
Australian Unity Specialist Disability Accommodation Fund,444,4,13,101,IDR_Wealth
Synergis Fund,445,4,13,101,IDR_Wealth
Vanguard Australian Property Securities Index,446,4,14,105,IDR_Wealth
iShares Australian Listed Property Index,447,4,14,105,IDR_Wealth
APN Australian Real Estate Investment Trusts Fund,448,4,14,105,IDR_Wealth
OnePath Wholesale - Property Securities Trust,449,4,14,105,IDR_Wealth
Pendal Property Investment,450,4,14,105,IDR_Wealth
Ironbark Paladin Property Securities,451,4,14,105,IDR_Wealth
Zurich Investments Aus Property Securities,452,4,14,105,IDR_Wealth
Optimix Wholesale - Property Securities B,453,4,14,105,IDR_Wealth
SG Hiscock Property,454,4,14,105,IDR_Wealth
Vanguard International Property Securities Index Hedged,455,4,14,105,IDR_Wealth
Vanguard International Property Securities Index,456,4,14,105,IDR_Wealth
iShares Global Listed Property Index Fund - Hedged S Class Units,457,4,14,105,IDR_Wealth
OnePath OneAnswer Frontier Investment Portfolio - OnePath Global Property Securities Index,458,4,14,105,IDR_Wealth
Resolution Capital Global Property Securities,459,4,14,105,IDR_Wealth
AMP Capital Global Property Securities A,460,4,14,105,IDR_Wealth
First Sentier Global Listed Infrastructure Fund,461,4,14,105,IDR_Wealth
Lazard Global Listed Infrastructure,462,4,14,105,IDR_Wealth
Magellan Infrastructure,463,4,14,105,IDR_Wealth
Ironbark Global (ex-Aus) Property Securities,464,4,14,105,IDR_Wealth
Generation iShares Wholesale Australian Listed Property Index,465,4,14,105,IDR_Wealth
Generation Mason Martin Currie Rl Inc,466,4,14,105,IDR_Wealth
Generation AMP Capital Global Property Securities,467,4,14,105,IDR_Wealth
Generation Magellan Infrastructure,468,4,14,105,IDR_Wealth
Kilter Australian Farmland Funds,469,4,14,105,IDR_Wealth
Infrastructure Access Fund,470,4,14,105,IDR_Wealth
The Impact Fund,471,4,14,105,IDR_Wealth
Infradebt Ethical Investment Fund 2,472,4,14,105,IDR_Wealth
Kapstream Absolute Return Income,473,4,15,107,IDR_Wealth
Bentham Global Income,474,4,15,107,IDR_Wealth
Franklin Templeton Multisector Bond W,475,4,15,107,IDR_Wealth
Janus Henderson Glb Fixed Intst Ttl Ret,476,4,15,107,IDR_Wealth
Yarra Enhanced Income Fund,477,4,15,107,IDR_Wealth
Macquarie Income Opportunities,478,4,15,107,IDR_Wealth
State Street Floating Rate Fund,479,4,15,107,IDR_Wealth
Ardea Real Outcome Fund,480,4,15,107,IDR_Wealth
Schroder Absolute Return Income Fund -WC,481,4,15,107,IDR_Wealth
OnePath WS-Dvrs Crdt,482,4,15,107,IDR_Wealth
Generation Life Schroder Abs Rtrn Income,483,4,15,107,IDR_Wealth
iShares Australian Bond Index,484,4,15,107,IDR_Wealth
Vanguard Australian Fixed Interest Index,485,4,15,107,IDR_Wealth
PIMCO Australian Bond W,486,4,15,107,IDR_Wealth
Schroder Fixed Income Fund - Wholesale,487,4,15,107,IDR_Wealth
Janus Henderson Australian Fxd Intst,488,4,15,107,IDR_Wealth
Janus Henderson Tactical Income,489,4,15,107,IDR_Wealth
Vanguard International Fxd Intr Idx Hdg,490,4,15,107,IDR_Wealth
PIMCO Global Bond W,491,4,15,107,IDR_Wealth
OnePath WS-Diversified Fixed Interest,492,4,15,107,IDR_Wealth
PIMCO Diversified Fixed Interest W,493,4,15,107,IDR_Wealth
Vanguard Diversified Bond Index,494,4,15,107,IDR_Wealth
UBS Diversified Fixed Income Fund,495,4,15,107,IDR_Wealth
Generation iShares Wholesale AUS Bd Idx,496,4,15,107,IDR_Wealth
Generation PIMCO Wholesale Australian Bd,497,4,15,107,IDR_Wealth
Generation PIMCO Wholesale Global Bond,498,4,15,107,IDR_Wealth
Zurich Ezicover Income Protection,499,5,17,115,IDR_Wealth
OneCare Income Protection,500,5,17,115,IDR_Wealth
Zurich Income Protection,501,5,17,115,IDR_Wealth
TAL Income Protection,502,5,17,115,IDR_Wealth
AIA Income Protection,503,5,17,115,IDR_Wealth
BT Life Income Protection,504,5,17,115,IDR_Wealth
AMP Income Protection,505,5,17,115,IDR_Wealth
Asteron Income Protection,506,5,17,115,IDR_Wealth
Challenger Annuity,507,5,18,116,IDR_Wealth
Challenger SIV Annuity,508,5,18,116,IDR_Wealth
Zurich Ezicover Life Insurance,509,5,18,120,IDR_Wealth
OneCare Life Insurance,510,5,18,120,IDR_Wealth
Zurich Life Insurance,511,5,18,120,IDR_Wealth
TAL Life Insurance,512,5,18,120,IDR_Wealth
AIA Life Insurance,513,5,18,120,IDR_Wealth
BT Life Life Insurance,514,5,18,120,IDR_Wealth
AMP Life Insurance,515,5,18,120,IDR_Wealth
Asteron Life Insurance,516,5,18,120,IDR_Wealth
OneCare TPD,517,5,18,122,IDR_Wealth
Zurich TPD,518,5,18,122,IDR_Wealth
TAL TPD,519,5,18,122,IDR_Wealth
AIA TPD,520,5,18,122,IDR_Wealth
BT Life TPD,521,5,18,122,IDR_Wealth
AMP TPD,522,5,18,122,IDR_Wealth
Asteron TPD,523,5,18,122,IDR_Wealth
OneCare Trauma Insurance,524,5,18,123,IDR_Wealth
Zurich Trauma Insurance,525,5,18,123,IDR_Wealth
TAL Trauma Insurance,526,5,18,123,IDR_Wealth
AIA Trauma Insurance,527,5,18,123,IDR_Wealth
BT Life Trauma Insurance,528,5,18,123,IDR_Wealth
AMP Trauma Insurance,529,5,18,123,IDR_Wealth
Asteron Trauma Insurance,530,5,18,123,IDR_Wealth
International Visa Debit,531,6,19,133,IDR_Everyday_Banking
Credit Transaction,532,6,19,133,IDR_Everyday_Banking
International Telegraphic Transfer,533,6,19,135,IDR_Everyday_Banking
Domestic Telegraphic Transfer,534,6,19,135,IDR_Everyday_Banking
Challenger Pension,535,8,22,143,IDR_Wealth
ANZ Staff Super - Life cover,536,8,24,173,IDR_Wealth
ANZ Staff Super Retirement Income,537,8,24,172,IDR_Wealth
ANZ Staff Super Scheme,539,8,24,177,IDR_Wealth
ANZ Staff Super - TPD,540,8,24,175,IDR_Wealth
ANZ Staff Super - Income Protection,541,8,24,122,IDR_Wealth
OneAnswer Frontier Pension,542,8,28,172,IDR_Wealth
ANZ OneAnswer Pension,543,8,28,172,IDR_Wealth
OneAnswer Frontier Super,544,8,28,177,IDR_Wealth
ANZ OneAnswer Super,545,8,28,177,IDR_Wealth
ANZ OneAnswer Superannuation,546,9,32,186,IDR_Wealth
ANZ OneAnswer Investment Portfolio,547,9,32,186,IDR_Wealth
OneAnswer Frontier Superannuation,548,9,32,186,IDR_Wealth
OneAnswer Frontier Investment Portfolio,549,9,32,186,IDR_Wealth
BT Wrap - Investment,550,9,32,186,IDR_Wealth
BT Wrap - Super/Pension,551,9,32,186,IDR_Wealth
Netwealth Accelerator Plus - Investments,552,9,32,186,IDR_Wealth
Netwealth Accelerator Plus - Super,553,9,32,186,IDR_Wealth
Netwealth Accelerator Core - Investments,554,9,32,186,IDR_Wealth
Netwealth Accelerator Core - Super,555,9,32,186,IDR_Wealth
Praemium Wrap,556,9,32,186,IDR_Wealth
Panorama Wrap,557,9,32,186,IDR_Wealth
Challenger Guaranteed Annuity,558,9,32,186,IDR_Wealth
Challenger Guaranteed Annuity - Liquid Lifetime,559,9,32,186,IDR_Wealth
GenerationLife Investment Bond,560,9,32,186,IDR_Wealth
(Retail Insurance) OneCare,561,9,32,186,IDR_Wealth
(Retail Insurance) Zurich,562,9,32,186,IDR_Wealth
(Retail Insurance) TAL,563,9,32,186,IDR_Wealth
(Retail Insurance) AIA,564,9,32,186,IDR_Wealth
(Retail Insurance) BTLife,565,9,32,186,IDR_Wealth
(Retail Insurance) AMP,566,9,32,186,IDR_Wealth
(Retail Insurance) Asteron,567,9,32,186,IDR_Wealth
ABC,,3,9,61,
